grid,threshold,region_hd,region_mr,global_phash_diff,is_actual_tampered,is_predicted_tampered,detection_accuracy
3×3,1.0,68.81266666666667,0.5421633333333333,6.916,1.0,0.9576666666666667,0.9576666666666667
3×3,2.0,68.81266666666667,0.5421633333333333,6.916,1.0,0.8786666666666667,0.8786666666666667
3×3,3.0,68.81266666666667,0.5421633333333333,6.916,1.0,0.8786666666666667,0.8786666666666667
4×4,1.0,126.62133333333334,0.5529700000000001,6.916,1.0,0.9963333333333333,0.9963333333333333
4×4,2.0,126.62133333333334,0.5529700000000001,6.916,1.0,0.9803333333333333,0.9803333333333333
4×4,3.0,126.62133333333334,0.5529700000000001,6.916,1.0,0.9803333333333333,0.9803333333333333
8×8,1.0,567.104,0.6225999999999999,6.916,1.0,0.9993333333333333,0.9993333333333333
8×8,2.0,567.104,0.6225999999999999,6.916,1.0,0.999,0.999
8×8,3.0,567.104,0.6225999999999999,6.916,1.0,0.999,0.999
