grid,threshold,accuracy,precision,recall,f1,avg_mr,avg_hd
3×3,1.0,0.9576666666666667,1.0,0.9576666666666667,0.9783756172313979,0.542,68.81
3×3,2.0,0.8786666666666667,1.0,0.8786666666666667,0.9354151880766501,0.542,68.81
3×3,3.0,0.8786666666666667,1.0,0.8786666666666667,0.9354151880766501,0.542,68.81
4×4,1.0,0.9963333333333333,1.0,0.9963333333333333,0.9981632993822007,0.553,126.62
4×4,2.0,0.9803333333333333,1.0,0.9803333333333333,0.9900690119508501,0.553,126.62
4×4,3.0,0.9803333333333333,1.0,0.9803333333333333,0.9900690119508501,0.553,126.62
8×8,1.0,0.9993333333333333,1.0,0.9993333333333333,0.9996665555185061,0.623,567.1
8×8,2.0,0.999,1.0,0.999,0.9994997498749375,0.623,567.1
8×8,3.0,0.999,1.0,0.999,0.9994997498749375,0.623,567.1
